age,income,caste,occupation,family_size,PM Garib Kalyan Anna Yojana,PM Ujjwala Yojana,Madilu Kit,Thayi Bhagya,Deendayal Antyodaya Yojana (NULM),National Food Security Act (NFSA),National Social Assistance Programme,PM Awas Yojana - Gramin (PMAY-G),PM-eBus Sewa,PM Suraksha Bima Yojana (PMSBY),PM Jeevan Jyoti Bima Yojana (PMJJBY),National Apprenticeship Promotion Scheme (NAPS),Self Employment Lending (National Corporations),Atal Pension Yojana (APY),KSTDC Tourist Taxi Scheme,One District One Product (ODOP),Agri-Infrastructure Fund,Elevate (Startup Grants for Women/Tier-2),PM MUDRA Yojana (PMMY),PM Formalization of Micro Food Processing Enterprises (PMFME)
25,180856,general,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
22,165509,st,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20,137464,st,unemployed,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
27,212683,sc,unemployed,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
39,27239,general,unemployed,8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
23,324837,general,artisan,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
28,275822,sc,artisan,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
54,357825,sc,artisan,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
18,94393,sc,farmer,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
46,288876,obc,self_employed,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
46,182638,general,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
46,385116,sc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
52,746451,obc,unemployed,5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
37,44884,general,unemployed,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
26,151895,sc,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
21,165431,obc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
15,422575,sc,student,5,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
10,139280,general,student,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35,200281,sc,unemployed,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
45,170246,general,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
49,406388,sc,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
65,276072,obc,daily_wage,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
31,110040,obc,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
38,118210,general,unemployed,8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
30,62966,st,farmer,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
53,519975,obc,farmer,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
17,15640,st,student,3,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
54,196779,obc,unemployed,7,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
35,409169,st,daily_wage,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
25,139344,obc,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
43,14604,sc,artisan,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
44,155681,sc,self_employed,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
39,181322,st,self_employed,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
54,31022,obc,farmer,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
16,241163,general,student,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
35,112367,general,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
61,269453,obc,unemployed,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
43,492735,obc,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
37,371099,general,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
30,49087,general,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
18,357237,general,student,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
60,156724,sc,farmer,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
52,344205,obc,farmer,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
41,543818,st,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
17,434400,obc,student,5,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
37,201957,st,artisan,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
19,135442,st,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
25,449561,obc,self_employed,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
40,120637,general,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
21,120771,st,artisan,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
22,92756,st,daily_wage,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
8,261574,st,self_employed,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
24,143769,general,artisan,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
14,639046,general,artisan,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
44,504617,st,farmer,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
27,249356,sc,artisan,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
45,458149,obc,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
15,200813,obc,student,5,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
34,115872,st,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
11,294956,st,student,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
15,469809,sc,student,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
32,719244,obc,self_employed,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
35,907658,st,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
56,369143,general,unemployed,6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
42,567650,general,farmer,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
38,333027,obc,farmer,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
20,664395,st,student,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
37,197728,st,self_employed,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
18,134314,st,student,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
50,262338,obc,farmer,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
19,397654,general,self_employed,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
30,138474,sc,self_employed,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
26,59999,sc,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
14,183872,st,self_employed,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
16,98091,obc,student,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
41,450685,obc,daily_wage,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
29,229457,general,farmer,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
22,160343,sc,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
63,241719,general,farmer,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
46,82670,st,unemployed,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
28,374775,obc,unemployed,8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
24,115625,general,farmer,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
16,18841,general,student,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
20,199489,general,unemployed,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
65,502126,obc,artisan,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
20,53160,general,self_employed,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
33,38434,obc,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
28,165281,general,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
51,193668,general,unemployed,6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
34,96913,sc,self_employed,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
45,223348,obc,daily_wage,6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
23,128318,sc,artisan,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
26,460700,sc,student,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
32,103528,obc,self_employed,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
8,644277,sc,artisan,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
37,70341,sc,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
21,460630,general,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
49,123279,general,self_employed,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
34,168755,obc,farmer,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
36,227463,sc,unemployed,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
18,259851,sc,student,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
37,133571,obc,farmer,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
27,319261,sc,daily_wage,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
16,385652,st,student,7,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
42,249369,sc,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
34,588350,general,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
44,12412,sc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
20,247827,general,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
23,597746,sc,student,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
36,95119,general,farmer,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
28,141080,obc,artisan,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
28,357910,sc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
22,16221,obc,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
27,264330,sc,artisan,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
27,333148,sc,student,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
57,227609,st,unemployed,7,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
46,354394,general,daily_wage,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
71,220694,st,farmer,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1
20,233402,general,daily_wage,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
47,241326,sc,farmer,6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
16,135632,sc,student,4,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
23,35692,st,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
56,311458,st,unemployed,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
24,363213,general,unemployed,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
23,138863,general,farmer,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
35,198971,obc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
14,407960,general,unemployed,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
23,161169,obc,daily_wage,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
17,123120,obc,self_employed,6,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
32,323700,sc,farmer,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
67,123650,general,daily_wage,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
23,216945,obc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
70,679625,obc,artisan,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
16,233246,general,artisan,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
35,172836,st,daily_wage,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
17,612801,obc,unemployed,4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
8,102804,obc,student,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
18,180478,st,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
47,462820,obc,farmer,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
40,74920,sc,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
43,237953,obc,self_employed,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
23,36817,obc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
60,46080,general,artisan,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
51,42786,general,self_employed,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
43,117708,obc,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
22,195242,st,student,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
68,100458,sc,daily_wage,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
11,216028,obc,student,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
57,198726,obc,farmer,5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
54,405555,sc,self_employed,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
41,141216,general,daily_wage,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
24,570748,sc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
57,445788,st,artisan,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
37,117979,sc,artisan,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
39,451473,general,farmer,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
42,32774,obc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
8,181413,sc,unemployed,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
43,916531,general,farmer,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
32,18565,st,unemployed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
28,688521,sc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
33,394870,general,self_employed,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
25,188689,obc,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
43,472296,general,daily_wage,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
44,137619,st,artisan,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
38,219510,obc,farmer,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
40,233931,st,daily_wage,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
38,260658,sc,farmer,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
25,430861,sc,unemployed,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
32,767681,general,artisan,8,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
39,139957,sc,artisan,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
29,8351,sc,unemployed,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
53,270965,st,artisan,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
8,223364,st,daily_wage,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
59,213020,sc,artisan,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
49,196262,obc,unemployed,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
9,32542,st,student,6,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
33,179853,st,artisan,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
18,103075,obc,artisan,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
30,92009,sc,unemployed,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
31,97427,general,self_employed,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
46,233918,sc,daily_wage,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
20,248225,st,student,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
70,142244,sc,unemployed,8,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0
32,132584,st,self_employed,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
31,891802,obc,self_employed,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
41,510644,st,unemployed,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
